"job_title_short","salary_year_avg"
"Senior Data Analyst","110000.0"
"Data Analyst","110000.0"
"Senior Data Analyst","110000.0"
"Data Analyst","110000.0"
"Data Analyst","110000.0"
"Senior Data Analyst","110000.0"
"Data Analyst","110000.0"
"Data Analyst","110000.0"
"Data Analyst","110000.0"
"Data Analyst","110000.0"
"Data Analyst","109600.0"
"Senior Data Analyst","109000.0"
"Data Analyst","108500.0"
"Senior Data Analyst","107825.5"
"Data Analyst","107500.0"
"Data Analyst","107500.0"
"Data Analyst","107500.0"
"Data Analyst","107500.0"
"Senior Data Analyst","107500.0"
"Data Analyst","107500.0"
"Data Analyst","107500.0"
"Senior Data Analyst","106800.0"
"Senior Data Analyst","106800.0"
"Senior Data Analyst","106661.5"
"Data Analyst","106562.5"
"Data Analyst","106479.0"
"Data Analyst","106479.0"
"Data Analyst","106479.0"
"Data Analyst","106000.0"
"Data Analyst","106000.0"
"Data Analyst","105000.0"
"Data Analyst","105000.0"
"Data Analyst","105000.0"
"Data Analyst","105000.0"
"Senior Data Analyst","105000.0"
"Data Analyst","105000.0"
"Data Analyst","105000.0"
"Senior Data Analyst","105000.0"
"Data Analyst","105000.0"
"Senior Data Analyst","105000.0"
"Data Analyst","105000.0"
"Data Analyst","105000.0"
"Data Analyst","105000.0"
"Data Analyst","105000.0"
"Senior Data Analyst","105000.0"
"Senior Data Analyst","105000.0"
"Data Analyst","104300.0"
"Data Analyst","104106.5"
"Data Analyst","104000.0"
"Data Analyst","103500.0"
"Data Analyst","103049.5"
"Data Analyst","103000.0"
"Data Analyst","103000.0"
"Data Analyst","103000.0"
"Senior Data Analyst","103000.0"
"Data Analyst","102500.0"
"Data Analyst","102500.0"
"Data Analyst","102500.0"
"Data Analyst","102500.0"
"Senior Data Analyst","102500.0"
"Data Analyst","102250.0"
"Senior Data Analyst","102000.0"
"Data Analyst","102000.0"
"Senior Data Analyst","102000.0"
"Senior Data Analyst","102000.0"
"Data Analyst","102000.0"
"Senior Data Analyst","102000.0"
"Data Analyst","102000.0"
"Senior Data Analyst","101500.0"
"Data Analyst","101500.0"
"Data Analyst","101500.0"
"Data Analyst","101500.0"
"Senior Data Analyst","101500.0"
"Senior Data Analyst","101000.0"
"Senior Data Analyst","101000.0"
"Senior Data Analyst","100500.0"
"Senior Data Analyst","100500.0"
"Senior Data Analyst","100500.0"
"Senior Data Analyst","100400.0"
"Data Analyst","100400.0"
"Data Analyst","100400.0"
"Data Analyst","100400.0"
"Data Analyst","100400.0"
"Senior Data Analyst","100250.0"
"Data Analyst","100000.5"
"Senior Data Analyst","100000.0"
"Data Analyst","100000.0"
"Senior Data Analyst","100000.0"
"Senior Data Analyst","100000.0"
"Data Analyst","100000.0"
"Senior Data Analyst","100000.0"
"Data Analyst","100000.0"
"Senior Data Analyst","100000.0"
"Data Analyst","100000.0"
"Data Analyst","100000.0"
"Data Analyst","100000.0"
"Data Analyst","100000.0"
"Data Analyst","100000.0"
"Senior Data Analyst","100000.0"
"Data Analyst","100000.0"
"Data Analyst","100000.0"
"Data Analyst","100000.0"
"Data Analyst","99746.90625"
"Data Analyst","99500.0"
"Data Analyst","99500.0"
"Senior Data Analyst","99500.0"
"Data Analyst","99000.0"
"Senior Data Analyst","99000.0"
"Senior Data Analyst","98800.0"
"Senior Data Analyst","98800.0"
"Data Analyst","98800.0"
"Senior Data Analyst","98800.0"
"Data Analyst","98750.0"
"Data Analyst","98500.0"
"Data Analyst","98000.0"
"Senior Data Analyst","98000.0"
"Senior Data Analyst","98000.0"
"Senior Data Analyst","97517.5"
"Senior Data Analyst","97500.0"
"Senior Data Analyst","97500.0"
"Data Analyst","97500.0"
"Senior Data Analyst","97500.0"
"Data Analyst","97500.0"
"Data Analyst","97500.0"
"Senior Data Analyst","97500.0"
"Data Analyst","97500.0"
"Data Analyst","97070.5"
"Data Analyst","97000.0"
"Senior Data Analyst","97000.0"
"Data Analyst","96400.0"
"Senior Data Analyst","96000.0"
"Senior Data Analyst","96000.0"
"Senior Data Analyst","95900.0"
"Data Analyst","95700.0"
"Data Analyst","95680.0"
"Data Analyst","95680.0"
"Data Analyst","95650.0"
"Data Analyst","95500.0"
"Senior Data Analyst","95500.0"
"Data Analyst","95329.0"
"Data Analyst","95150.0"
"Senior Data Analyst","95150.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Senior Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Senior Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Senior Data Analyst","95000.0"
"Data Analyst","95000.0"
"Senior Data Analyst","95000.0"
"Senior Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Senior Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","95000.0"
"Data Analyst","94871.5"
"Data Analyst","94400.0"
"Senior Data Analyst","94366.75"
"Data Analyst","94000.0"
"Senior Data Analyst","94000.0"
"Data Analyst","93000.0"
"Data Analyst","93000.0"
"Senior Data Analyst","93000.0"
"Data Analyst","92750.0"
"Data Analyst","92500.0"
"Data Analyst","92500.0"
"Data Analyst","92500.0"
"Senior Data Analyst","92500.0"
"Data Analyst","92000.0"
"Data Analyst","91000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Senior Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Senior Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Senior Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Senior Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","90000.0"
"Data Analyst","89833.5"
"Data Analyst","89796.0"
"Data Analyst","89500.0"
"Data Analyst","89000.0"
"Data Analyst","89000.0"
"Data Analyst","88000.0"
"Data Analyst","88000.0"
"Data Analyst","87500.0"
"Data Analyst","87500.0"
"Data Analyst","87500.0"
"Senior Data Analyst","87500.0"
"Data Analyst","87500.0"
"Senior Data Analyst","87500.0"
"Data Analyst","87500.0"
"Data Analyst","87500.0"
"Data Analyst","87500.0"
"Data Analyst","87500.0"
"Data Analyst","87000.0"
"Data Analyst","87000.0"
"Data Analyst","86500.0"
"Data Analyst","86500.0"
"Senior Data Analyst","86000.0"
"Data Analyst","86000.0"
"Data Analyst","85500.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Senior Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Data Analyst","85000.0"
"Senior Data Analyst","85000.0"
"Data Analyst","84950.0"
"Data Analyst","84800.0"
"Data Analyst","84500.0"
"Data Analyst","84500.0"
"Data Analyst","84500.0"
"Data Analyst","84500.0"
"Data Analyst","84500.0"
"Data Analyst","84500.0"
